Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TransSalePrice,InsideSF,OutsideSF,TotalSF,OverallQualCond,GarageCarArea,ExterQualCond,BsmtQualCond,BsmtQualCondPlus,FireplacesQu,GarageQualCond
11,20,RL,70.0,11200,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,0,0,No_MF,0,2,2008,WD,Normal,129500,11.771443882099637,2464,0,2464,25,384,9,9,27,0,9
12,60,RL,85.0,11924,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998,1,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,147,21,0,0,0,0,0,0,No_MF,0,7,2006,New,Partial,345000,12.75130259456002,4235,168,4403,45,2208,15,15,90,8,9
13,20,RL,76.57222944703568,12968,Pave,No_Alley,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,737,1,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,Detchd,1962.0,Unf,1,352,3,3,Y,140,0,0,0,176,0,0,0,No_MF,0,9,2008,WD,Normal,144000,11.87757552297847,2176,140,2316,30,352,9,9,45,0,9
14,20,RL,91.0,10652,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0,1,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,160,33,0,0,0,0,0,0,No_MF,0,8,2007,New,Partial,279500,12.540761149388421,3828,193,4021,35,2520,12,12,36,4,9
15,20,RL,72.16108320703566,10920,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733,1,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,213,176,0,0,0,0,2,No_MF,0,5,2008,WD,Normal,157000,11.964007453736912,3034,213,3247,30,352,9,9,36,2,9
16,45,RM,51.0,6120,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,Detchd,1991.0,Unf,2,576,3,3,Y,48,112,0,0,0,0,0,4,No_MF,0,7,2007,WD,Normal,132000,11.790564777297387,2262,160,2422,56,1152,9,9,9,0,9
17,20,RL,72.85247868703567,11241,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578,1,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,149000,11.91170829631447,2488,0,2488,42,960,9,9,45,3,9
18,90,RL,72.0,10791,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,90000,11.407576060361786,1812,0,1812,20,1032,9,0,0,0,9
19,20,RL,66.0,13695,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,6,646,1,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,Detchd,2004.0,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,0,No_MF,0,6,2008,WD,Normal,159000,11.976665770490767,2804,102,2906,25,1152,9,9,54,0,9
20,20,RL,70.0,7560,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,2,504,1,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,0,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,0,3,No_MF,0,5,2009,COD,Abnorml,139000,11.842236406331555,2662,0,2662,30,294,9,9,18,0,9
21,60,RL,101.0,14215,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0,1,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,240,154,0,0,0,0,0,0,No_MF,0,11,2006,New,Partial,325300,12.692506186542177,4387,394,4781,40,2559,12,15,45,4,9
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0,1,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,205,0,0,0,0,4,No_MF,0,6,2007,WD,Normal,139400,11.845109950883979,2230,0,2230,49,280,9,9,9,4,9
23,20,RL,75.0,9742,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0,1,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,171,159,0,0,0,0,0,0,No_MF,0,9,2008,WD,Normal,230000,12.345838935721968,4106,330,4436,40,1068,12,12,12,4,9
24,120,RM,44.0,4224,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,6,840,1,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,100,110,0,0,0,0,0,0,No_MF,0,6,2007,WD,Normal,129900,11.774527900858468,2672,210,2882,35,1144,9,12,72,3,9
25,20,RL,66.40160808703567,8246,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,3,188,5,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,406,90,0,0,0,0,0,3,No_MF,0,5,2010,WD,Normal,154000,11.944714374881176,2390,496,2886,40,270,12,9,270,3,9
26,20,RL,110.0,14230,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0,1,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,56,0,0,0,0,0,0,No_MF,0,7,2009,WD,Normal,256300,12.454107814022272,4056,56,4112,40,2670,12,12,12,4,9
27,20,RL,60.0,7200,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,4,234,3,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,Detchd,2005.0,Unf,2,576,3,3,Y,222,32,0,0,0,0,0,0,No_MF,0,5,2010,WD,Normal,134800,11.811554895830454,2376,254,2630,35,1152,9,9,216,0,9
28,20,RL,98.0,11478,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218,1,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,50,0,0,0,0,0,0,No_MF,0,5,2010,WD,Normal,306000,12.631343648903034,4180,50,4230,40,2316,12,15,90,4,9
29,20,RL,47.0,16321,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277,1,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,288,258,0,0,0,0,0,0,No_MF,0,12,2006,WD,Normal,207500,12.242891437918386,3403,546,3949,30,319,9,9,144,8,9
30,30,RM,60.0,6324,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,Detchd,1920.0,Unf,1,240,2,3,Y,49,0,87,0,0,0,0,0,No_MF,0,5,2008,WD,Normal,68500,11.134603622683905,1367,49,1416,24,240,9,9,9,0,6
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,1,1,0,1,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,7,0,0,Detchd,1920.0,Unf,1,250,3,2,N,0,54,172,0,0,0,0,3,No_MF,0,7,2008,WD,Normal,40000,10.596659732783579,2388,54,2442,16,250,6,9,9,0,6
32,20,RL,67.04346432703565,8544,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,0,Attchd,1966.0,Unf,1,271,3,3,Y,0,65,0,0,0,0,0,3,No_MF,0,6,2008,WD,Normal,149350,11.914054519303125,2727,65,2792,30,271,9,9,9,0,9
33,20,RL,85.0,11049,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,1,0,1,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,7,0,0,Attchd,2007.0,RFn,2,484,3,3,Y,0,30,0,0,0,0,0,0,No_MF,0,1,2008,WD,Normal,179900,12.100161978566867,2952,30,2982,40,968,12,15,45,0,9
34,20,RL,70.0,10552,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,3,1018,1,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,38,0,0,0,0,0,0,No_MF,0,4,2010,WD,Normal,165500,12.016732516077072,3545,38,3583,25,894,9,9,27,4,9
35,120,RL,60.0,7313,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153,1,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,7,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,203,47,0,0,0,0,0,0,No_MF,0,8,2007,WD,Normal,277500,12.533579815765737,3678,250,3928,45,1112,15,15,90,4,9
36,60,RL,108.0,13418,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0,1,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,7,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,113,32,0,0,0,0,0,0,No_MF,0,9,2006,WD,Normal,309000,12.6410997921206,4260,145,4405,40,2073,12,15,45,4,9
37,20,RL,112.0,10859,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0,1,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,7,0,0,Attchd,1995.0,Unf,2,672,3,3,Y,392,64,0,0,0,0,0,0,No_MF,0,6,2009,WD,Normal,145000,11.884495917930655,2866,456,3322,25,1344,9,12,12,0,9
38,20,RL,74.0,8532,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213,1,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,7,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,0,0,0,No_MF,0,10,2009,WD,Normal,153000,11.938199736300925,3092,0,3092,30,996,9,9,27,3,9
39,20,RL,68.0,7922,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,0,Detchd,1953.0,Unf,1,246,3,3,Y,0,52,0,0,0,0,0,0,No_MF,0,1,2010,WD,Abnorml,109000,11.599112335481124,2360,52,2412,35,246,12,9,54,0,9
40,90,RL,65.0,6040,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,0,No_GT,1955.0,No_GF,0,0,0,0,N,0,0,0,0,0,0,0,0,No_MF,0,6,2008,WD,AdjLand,82000,11.314486721293981,1152,0,1152,20,0,9,0,0,0,0
41,20,RL,84.0,8658,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643,1,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,7,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,138,0,0,0,0,0,2,No_MF,0,12,2006,WD,Abnorml,160000,11.982935344196433,2852,138,2990,30,880,9,9,27,3,9
42,20,RL,115.0,16905,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,7,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,104,0,0,0,0,0,0,No_MF,0,7,2007,WD,Normal,170000,12.04355959836804,2986,104,3090,30,308,12,9,144,8,9
43,85,RL,68.41333200703565,9180,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,5,747,2,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,7,0,0,Attchd,1983.0,RFn,2,504,3,4,Y,240,0,0,0,0,0,0,3,No_MF,0,12,2007,WD,Normal,144000,11.87757552297847,2228,240,2468,35,1008,9,12,360,0,12
44,20,RL,68.45640960703568,9200,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,3,2,280,4,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,7,0,0,Detchd,1977.0,Unf,1,308,3,3,Y,145,0,0,0,0,0,0,3,No_MF,0,7,2008,WD,Normal,130250,11.777218637129327,2184,145,2329,30,308,9,12,288,0,9
45,20,RL,70.0,7945,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,179,4,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,7,0,0,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,0,0,0,No_MF,0,5,2006,WD,Normal,141000,11.856522261533737,2600,0,2600,30,300,9,9,180,0,9
